index,tfidf
jason,0.5435572686660001
piper,0.2973146530076008
hera,0.26498281998629725
thalia,0.23171477578124733
leo,0.17665521332419815
percy,0.15969916520765007
trio,0.14094262039591396
demigod,0.1390288654687484
aeolus,0.1390288654687484
francisco,0.1390288654687484
zeus,0.1390288654687484
gaea,0.13249140999314862
san,0.13249140999314862
roman,0.11977437390573754
camp,0.10265345221983195
giant,0.10200182612494219
hunter,0.09961077774821861
jackson,0.0988285943029091
coach,0.0988285943029091
fight,0.09599147942109605
hedge,0.08832760666209907
annabeth,0.08832760666209907
aphrodite,0.08832760666209907
shoe,0.08218492267168889
spirit,0.07555437489589639
rush,0.06250114563137142
goddess,0.061827713750726015
trip,0.0605645054891956
son,0.05867208382124762
wolf,0.0583159835545945
hero,0.0583159835545945
storm,0.05590619752466905
turn,0.05577595040327481
manage,0.05234844281882934
quest,0.05036958326393093
mellie,0.04941429715145455
valdez,0.04941429715145455
mclean,0.04941429715145455
enceladus,0.04941429715145455
diablo,0.04941429715145455
gleeson,0.04941429715145455
porphyrion,0.04941429715145455
venti,0.04941429715145455
memory,0.04889757940924845
blood,0.048619595044919674
half,0.04680464007738988
chariot,0.04634295515624946
canyon,0.04634295515624946
hephaestus,0.04634295515624946
dylan,0.04634295515624946
apprehended,0.044163803331049536
classmate,0.044163803331049536
jupiter,0.044163803331049536
switched,0.044163803331049536
juno,0.044163803331049536
bus,0.044163803331049536
guy,0.04247352185822868
satyr,0.04247352185822868
arrive,0.0420246469382173
captured,0.04184745517801931
taken,0.041499170349751355
house,0.041327985219960665
artemis,0.041092461335844446
counterpart,0.041092461335844446
daughter,0.04082573846910594
boyfriend,0.03992479130191252
discovers,0.039714790009741006
rescue,0.03956253020757554
aspect,0.03891330951064453
sitting,0.03891330951064453
grace,0.03891330951064453
battle,0.037710966951284675
greek,0.037223028037823666
save,0.03718396693551654
girlfriend,0.03584196751543943
somewhere,0.03584196751543943
reunite,0.03584196751543943
hole,0.03584196751543943
order,0.03535648635934116
landing,0.03523565509897849
awakens,0.03523565509897849
coin,0.03523565509897849
assistant,0.034151686042618576
father,0.03372591163271071
disappears,0.03366281569023951
remember,0.03366281569023951
champion,0.03366281569023951
overthrow,0.033203592582739534
remembers,0.033203592582739534
fleeing,0.032361073812995585
